id,nombre,bodega,varietal,descripcion,precio_unitario,precio_caja,botellas_caja,imagen_url,categoria,activo
11,Dv Catena L'Esploratore Salta,Catena Zapata,Malbec,"BODEGA Catena Zapata VARIEDAD Malbec REGIÓN Viñedo ""Elena"" - Cafayate, Salta. CRIANZA 24 Meses en Roble Frances ENÓLOGO Alejandro Vigil CEPAS 100% Malbec PRESENTACIÓN Botella de 750 cm3 DESCRIPCIÓN DE LA BODEGA Catena Zapata, una histórica bodega familiar fundada en 1902, está actualmente dirigida por los viticultores de tercera y cuarta generación Nicolás y su hija Laura Catena. Nicolás Catena Zapata es conocido como el hombre que revolucionó el vino argentino en los años 80, al centrarse principalmente en la calidad, Plantando viñedos a 1500 metros de altura y liderando el reingreso del Malbec –varietal francés casi olvidado por el resto del mundo– al mundo del vino, Catena Zapata y Nicolás Catena Zapata han recibido numerosos premios, entre ellos Decanter. Hombre del Año de la revista Decanter, Premio al Servicio Distinguido de The Wine Spectator y Bodega del Año de publicaciones de todo el mundo. NOTAS DE CATA Nariz intensa y muy aromática, con fruta negra madura, violetas y hierbas de montaña; resaltan además notas a pimienta y grafito. En boca, es profundo e intenso, de gran cuerpo y estructura, con taninos estrictos y un largo de boca muy persistente.",16835,95960,6,/imagenes/dv-adrianna-2b512d3821ff82c79117577099929664.jpg,,TRUE
12,Dv Catena Malbec Malbec,Catena Zapata,Malbec,"DV Catena Malbec-Malbec es un blend proveniente de uvas Malbec de dos diferentes viñedos. El viñedo Angelica aporta aromas de mermeladas de ciruelas maduras y moras negras, suavidad y volumen al paladar. La Pirámide entrega aromas de frutos negros de carozo y notas de especias como pimienta negra y clavo de olor. Se conjugan de manera excepcional para dar origen a este vino, intenso y concentrado, de final largo y muy persistente. INFORMACIÓN TÉCNICA Varietal: 100% Malbec 50% Viñedo Angelica (Lunlunta 860 msnm) & 50% Viñedo La Piramide (Agrelo 940 msnm) Alcohol: 13,6% Fermentación: Temp. Máx. Ferm. 30 ºC, durante 14 días. 25 días de maceración Añejamiento: 18 meses en Roble Francés (50% nuevo) Bodega: Catena Zapata Region: 50% Viñedo Angelica (Lunlunta) & 50% Viñedo La Piramide (Agrelo), Mendoza (860 a 940 msnm) Composicion Varietal: 100% Malbec Crianza: 18 meses en barricas de roble francés, 50% nuevo Enologo: Alejandro Vigil Graduacion Alcoholica: 13,6% Temperatura de Servicio: 16 a 18 grados",17768,101280,6,/imagenes/malbec-1914-b5f06a0a8148c82f9b17612523378573.jpg,,TRUE
13,Dv Catena Malbec Tinto Historico,Catena Zapata,Blend,"Varietales: 95% Malbec - 5% Petit Verdot varietales: 95% Malbec - 5% Petit Verdot Región: Paraje Altamira, Valle de Uco Viñedo: Paraje Altamira, Valle de Uco Composición del Suelo: Arcilloso de origen aluvional, con grandes piedras ovaladas en profundidad (80% arena - 10% arcilla - 10% limo) Tipo de Cosecha: Manual. Primera semana de Marzo Elaboración: Maceración en frío de Malbec y Petit Verdot (por 5 días), en tanques de acero inoxidable a menos 10ºC. Cofermentación alcohólica durante 16 días a 28ºC en tanques. Trabajos de remontaje, pisonaje y delestage durante 22 días. 100% fermentación maloláctica. Añejamiento : En barricas de roble francés de 225 lts. -de 1ero, 2do y 3er uso- por 12/14 meses. 10 meses de estiba en botella antes de su lanzamiento. Alcohol: 13.5% Vol. pH/Acidez : 3.7 / 5.8 Bodega: Catena Zapata Region: Viñedo Nicasia, Altamira, 1.100 msnm Composicion Varietal: 95% Malbec - 5% Petit Verdot Crianza: 14 meses en barricas de roble, 10% nuevo y 90% de 2 y 3 usos Enologo: Alejandro Vigil Graduacion Alcoholica: 13,5% Temperatura de Servicio: 14 a 16 grados",21691,130143,6,/imagenes/malbec-1914-b5f06a0a8148c82f9b17612523378573.jpg,,TRUE
14,Dv Catena Pinot Pinot 2022,Catena Zapata,Pinot Noir,"D.V. Catena Pinot Noir es un vino elegante y complejo, color rojo teja con matices ladrillo. Su aroma es delicado; remite a confituras rojas, cerezas, ciruelas y cuero, con ligeras notas de vainilla y café. En boca, de impacto dulce y gran complejidad, es un vino suave y sedoso, con taninos maduros que le otorgan una gran armonía final. PRODUCTOR Catena Zapata TIPO Tinto VARIEDAD Pinot Noir VOLUMEN 750 ml CORTE 100% Pinot Noir ALCOHOL 13,5% LUGAR DE ELABORACIÓN 50% Gualtallary - 50% Villa Bastias. Provincia de Mendoza, Argentina. ENÓLOGO Alejandro Vigil",14300,81510,6,/imagenes/dv-adrianna-2b512d3821ff82c79117577099929664.jpg,,TRUE
15,Dv Domingo Tupungato,Catena Zapata,Cabernet Sauvignon,"Varietal: Blend. Vivino: 4,3. Bodega: Catena Zapata. Lugar de elaboracion: Agrelo, Luján de Cuyo, Lunlunta, Maipú, Provincia de Mendoza, Argentina. Enólogo: Alejandro Vigil. NARIZ: intenso y concentrado, presenta notas de especias aportadas por el Cabernet Sauvignon del viñedo La Pirámide, y notas de moras maduras y ciruelas, características del Malbec del viñedo Angélica, acompañadas por vainilla, tabaco y licor aportadas por la crianza en roble. PALADAR: de impacto dulce y gran complejidad, con taninos integrados y redondos, de final largo y persistente. VISTA: es un vino elegante y complejo, de color rojo rubi con reflejos violetas",20722,82888,4,/imagenes/diseno-sin-titulo-2024-04-18t121514-814-56c2c5ff45912ea65217134533453170-1024-1024-1-9a79fcb7db712f2bcf17569504519587.jpg,,TRUE
16,Dv Lulunta Garnacha,Catena Zapata,Garnacha,"BODEGA Catena Zapata VARIEDAD Garnacha REGIÓN Viñedo: Angélica. Lunlunta, Maipú. Provincia de Mendoza, Argentina. Altura: 920 (S.N.M) CRIANZA En barricas de roble francés durante 14 meses. ENÓLOGO Alejandro Vigil CEPAS 100% Garnacha PRESENTACIÓN Botella de 750 cm3 DESCRIPCIÓN DE LA BODEGA Catena Zapata, una histórica bodega familiar fundada en 1902, está actualmente dirigida por los viticultores de tercera y cuarta generación Nicolás y su hija Laura Catena. Nicolás Catena Zapata es conocido como el hombre que revolucionó el vino argentino en los años 80, al centrarse principalmente en la calidad, Plantando viñedos a 1500 metros de altura y liderando el reingreso del Malbec –varietal francés casi olvidado por el resto del mundo– al mundo del vino, Catena Zapata y Nicolás Catena Zapata han recibido numerosos premios, entre ellos Decanter. Hombre del Año de la revista Decanter, Premio al Servicio Distinguido de The Wine Spectator y Bodega del Año de publicaciones de todo el mundo. DESCRIPCIÓN DEL VINO De refrescantes aromas a frutos rojos como frutillas y cerezas, junto a notas herbales y especiadas como lavanda y canela, es un vino de particular suavidad en boca y amables taninos. De cuerpo medio y agradable acidez, su paso por madera le añade dejos ahumados. ELABORACIÓN Cosecha manual. Maceración en frío por doce horas con racimos enteros a 8°C en tanques de acero inoxidable. 12-18 días a 26°C. Fermentación maloláctica parcial.",23816,142896,6,/imagenes/dv-catena-garnacha-apelaciones-lunlunta-d2b163cfdf87c3050117267549231207-640-0-0cba8485cc1241d82517577104021954.jpg,,TRUE
17,Dv Nicasia Vineyard Malbec,Catena Zapata,Malbec,"DV Catena Malbec Nicasia es un vino elegante y complejo, de color rojo profundo con reflejos violetas. A la nariz, intenso y concentrado, presenta notas de moras maduras y frutos del bosque, características del Malbec del viñedo Nicasia, acompañadas por vainilla, tabaco y licor aportadas por la crianza en roble. En boca, de impacto dulce y gran complejidad, es amplio, con taninos suaves y redondos, de final largo y persistente. PRODUCTOR Catena Zapata TIPO Tinto VARIEDAD Malbec VOLUMEN 750 ml CORTE 100% Malbec ALCOHOL 14% LUGAR DE ELABORACIÓN Nicasia - Altamira - San Carlos. Provincia de Mendoza, Argentina. ALTURA (S.N.M.) 1180 CRIANZA / BARRICADO 24 meses en 100% Roble francés (100% nuevo). ELABORACIÓN Cosecha: Manual, 3 momentos de cosecha. Fermentación: Fermentación en barriles de roble francés. Levaduras seleccionadas, máx. temp. ferm. 28° C, durante 17 días, con 29 días de maceración. ENÓLOGO Alejandro Vigil",22697,136180,6,/imagenes/malbec-1914-b5f06a0a8148c82f9b17612523378573.jpg,,TRUE
18,Dv Nicasia Vineyard Pasaje Altamira,Catena Zapata,Cabernet Sauvignon,"BODEGA Catena Zapata VARIEDAD Malbec REGIÓN Paraje Altamira, Valle de Uco, Mendoza. Argentina ENÓLOGO Alejandro Vigil CEPAS 100% Malbec PRESENTACIÓN Botella de 750 cm3 DESCRIPCIÓN DE LA BODEGA Catena Zapata, una histórica bodega familiar fundada en 1902, está actualmente dirigida por los viticultores de tercera y cuarta generación Nicolás y su hija Laura Catena. Nicolás Catena Zapata es conocido como el hombre que revolucionó el vino argentino en los años 80, al centrarse principalmente en la calidad, Plantando viñedos a 1500 metros de altura y liderando el reingreso del Malbec –varietal francés casi olvidado por el resto del mundo– al mundo del vino, Catena Zapata y Nicolás Catena Zapata han recibido numerosos premios, entre ellos Decanter. Hombre del Año de la revista Decanter, Premio al Servicio Distinguido de The Wine Spectator y Bodega del Año de publicaciones de todo el mundo.",19825,118950,6,/imagenes/dv-catena-vineyard-designated-malbec-altamira1-89bf5f956ab1f0e18b16182581178675-640-0-6407cfa2babf4e44b617577108217705.jpg,,TRUE
19,Dv Piramide Vineyard,Catena Zapata,Cabernet Sauvignon,"BODEGA Catena Zapata VARIEDAD Cabernet Sauvignon REGIÓN La Pirámide, Agrelo, Lujan de Cuyo, Mendoza CRIANZA 24 meses en barricas nuevas de roble francés ENÓLOGO Alejandro Vigil CEPAS 100% Cabernet Sauvignon PRESENTACIÓN Botella de 750 cm3 DESCRIPCIÓN DE LA BODEGA Catena Zapata, una histórica bodega familiar fundada en 1902, está actualmente dirigida por los viticultores de tercera y cuarta generación Nicolás y su hija Laura Catena. Nicolás Catena Zapata es conocido como el hombre que revolucionó el vino argentino en los años 80, al centrarse principalmente en la calidad, Plantando viñedos a 1500 metros de altura y liderando el reingreso del Malbec –varietal francés casi olvidado por el resto del mundo– al mundo del vino, Catena Zapata y Nicolás Catena Zapata han recibido numerosos premios, entre ellos Decanter. Hombre del Año de la revista Decanter, Premio al Servicio Distinguido de The Wine Spectator y Bodega del Año de publicaciones de todo el mundo.",21060,84240,4,/imagenes/dv-catena-cabernet-sauvignon-v-d-piramide-161-2fb74f54420618213b16148094560768-640-0-7ce50f5d5d795f9c8d17577106592245.jpg,,TRUE
20,El Enemigo,Aleanna,Malbec,"Un vino de nicho. Que reproduce la estructura de la «Divina Comedia», la famosa obra del italiano Dante. El Enemigo es la fantástica expresión de su esencia y su entorno: un vino tinto brillante, de profundo color rubí y ribete violáceo, elaborado exclusivamente con uva Malbec, la uva negra cultivada por excelencia en Argentina. Este vino tinto nace a los pies de los Andes en las tierras de Maipú, en la región de Mendoza. Presentación: 750ml. Alc: 13,9%",17768,101280,6,/imagenes/diseno-sin-titulo-36-0dc43f652d402f4f7617692789900056.jpg,,TRUE
21,El Enemigo,Aleanna,Bonarda,"85% Bonarda (Rivadavia) - 15% Cabernet Franc (Gualtallary) Al final del camino solo recuerdas una batalla, la que libraste contigo mismo, el verdadero enemigo; la que te hizo único. Adrianna Catena & Alejandro Vigil Bodega: Aleanna (Alejandro Vigil & Adrianna Catena) Region: Bonarda: El Mirador, Rivadavia (650 msnm) - Cabernet Franc: Gualtallary, Tupungato (1470 msnm) Composicion Varietal: 85% Bonarda - 15% Cabernet Franc Crianza: 15 meses en barricas, 70% de roble francés (2 y 3 uso) y 30% en roble americano Enologo: Alejandro Vigil Potencial de Guarda: 12 Años Graduacion Alcoholica: 13,5% Temperatura de Servicio: 16 grados",17095,97442,6,/imagenes/gran-enemigo-el-cepillo-da069cfff251af08c417577088130871.jpg,,TRUE
22,El Enemigo,Aleanna,Cabernet Franc,"Este Blend está elaborado a máxima temperatura 28º C durante 22 días, con 28 días de maceración. Cuenta con 5 tiempos de cosecha diferentes (con un total de un período de 5 semanas diferencia entre el primero y el último). Su crianza es de 16 meses en barricas de roble francés, 20% nuevas. Este Cabernet Franc presenta un color rojo rubí con tonos violetas suaves. En nariz da aromas intensos y notas concentradas de cassis, grosellas maduras y especias dulces que incluyen la pimienta negro. Su paso por roble ofrece notas integradas de cedro y vainilla. Impacto fresco y excelente estructura en boca, que recuerda a frutos rojos maduros con notas de eucalipto y pimienta negra. Este vino tiene un excelente equilibrio y elegancia con un final persistente bien estructurado. TIPO: Tinto VARIEDAD: Blend CORTE: 92% Cabernet Franc 8% Malbec ORIGEN: Gualtallary, Tupungato. Mendoza, Argentina",17095,97442,6,/imagenes/diseno-sin-titulo-20-8347316c1b26cb0b0717692774443824.jpg,,TRUE
23,El Enemigo,Aleanna,Chardonnay,"EL ENEMIGO CHARDONNAY Al final del camino solo recuerdas una batalla, la que libraste contigo mismo, el verdadero enemigo; la que te hizo único. Adrianna Catena & Alejandro Vigil El Enemigo Chardonnay es un vino blanco elaborado por la Bodega Aleanna , desde Gualtallary, Tupungato, provincia de Mendoza. Bodega Aleanna nace con la unión de Alejandro Vigil y Adrianna Catena, con el propósito de crear excelentes vinos de calidad, aprovechando las grandes virtudes de ambos, la trayectoria en elaboración, el trato con la uva, el contacto con el vino y sin dejar de lado el gran suelo y microclima del Valle de Uco, de Mendoza. Bodega: Aleanna - Adrianna Catena & Alejandro Vigil Region: Gualtallary, Tupungato, Mendoza 1400 a 1500 msnm Composicion Varietal: 100% Chardonnay Crianza: 9 meses en barricas de roble frances de 500 litros Enologo: Alejandro Vigil Potencial de Guarda: 2023 - 2030 Graduacion Alcoholica: 13,5% Puntaje Robert Parker: 94 pts. Temperatura de Servicio: 10 grados",17095,102570,6,/imagenes/diseno-sin-titulo-31-720cc8419e15bbb2e917692792974546.jpg,,TRUE
24,Gran Enemigo Agrelo,Aleanna,Cabernet Franc,"GRAN ENEMIGO AGRELO SINGLE VINEYARD 96 pts. Robert Parker Al final del camino solo recuerdas una batalla, la que libraste contigo mismo, el verdadero enemigo; la que te hizo único. Dos mentes inquisidoras: Adrianna Catena, historiadora y cuarta generacion de la antigua tradicion vitivinicola Catena; y Alejandro Vigil, reconocido enologo y agronomo de la provincia de Mendoza hay unido su esfuerzo y entusiasmo para producir este vino buscando crear algo diferente, unico. Adrianna Catena & Alejandro Vigil ¨El Gran Enemigo Agrelo Single Vineyard 2018 proviene de un viñedo de la bodega Catena, de profundos suelos arcillosos regados una sola vez. El viñedo suele producir vinos muy regulares que amortiguan los efectos de la añada y tienen un grado alcohólico moderado (este tiene un 13,5%), buena mesura y muy buena frescura. En Agrelo, siempre obtienes especias, clavo y hierbas, bayas y flores, y el élevage proporciona algunos matices tostados y ahumados. Es sabroso y tiene taninos muy finos. Es mayoritariamente Cabernet Franc, mencionado en la etiqueta, pero también contiene un 15% de Malbec que maduró en un foudre de roble antiguo durante 15 meses. En julio de 2019 se llenaron 7.200 botellas.¨ Luis Gutierrez Bodega: Aleanna - Adrianna Catena & Alejandro Vigil Region: Agrelo, Mendoza Composicion Varietal: 85% Cabernet Franc - 15% Malbec Crianza: 15 meses en foudres de roble frances viejo Enologo: Alejandro Vigil Potencial de Guarda: 2022 - 2030 Graduacion Alcoholica: 13,5% Puntaje Robert Parker: 96 pts. Temperatura de Servicio: 16 grados",37050,211185,6,/imagenes/gran-enemigo-agrelo-a-d42e9e8c317748ebde17577085826834.jpg,,TRUE
25,Gran Enemigo Cepillo 2021,Aleanna,Cabernet Franc,"GRAN ENEMIGO EL CEPILLO SINGLE VINEYARD 98+ pts. Robert Parker Al final del camino solo recuerdas una batalla, la que libraste contigo mismo, el verdadero enemigo; la que te hizo único. Dos mentes inquisidoras: Adrianna Catena, historiadora y cuarta generacion de la antigua tradicion vitivinicola Catena; y Alejandro Vigil, reconocido enologo y agronomo de la provincia de Mendoza hay unido su esfuerzo y entusiasmo para producir este vino buscando crear algo diferente, unico. Adrianna Catena & Alejandro Vigil ¨ El estratificado y complejo Gran Enemigo El Cepillo Single Vineyard 2019 tiene una nariz expresiva con una mezcla de curry, nuez moscada, hierbas aromáticas y flores secas, perfumada y expresiva. El viñedo fue plantado en el año 2000 con Cabernet Franc y un 15% de Malbec que fermentó en concreto y tina de roble de 2.000 litros con levaduras autóctonas y con un 50% de racimos llenos. Este embotellado es siempre muy distinto, con aromáticos increíbles, un paladar de cuerpo medio a amplio, 13,5% de alcohol y muy buen frescor. Es vibrante y termina seco y con un toque salado. En julio de 2020 se llenaron 7.200 botellas.¨ Luis Gutierrez Bodega: Aleanna (Alejandro Vigil & Adrianna Catena) Region: El Cepillo, Valle de Uco, Mendoza Composicion Varietal: 85% Cabernet Franc - 15% Malbec Crianza: 12 meses en foudres de roble frances de diversos usos Enologo: Alejandro Vigil Potencial de Guarda: 2022 - 2033 Graduacion Alcoholica: 13,5% Puntaje Robert Parker: 98+ pts. Temperatura de Servicio: 16 grados",36660,208962,6,/imagenes/gran-enemigo-corte-b0ee1bdc297de5837317567855503552.jpg,,TRUE
26,Gran Enemigo Chacayes,Aleanna,Cabernet Franc,"GRAN ENEMIGO CHACAYES SINGLE VINEYARD 97 pts. Robert Parker Al final del camino solo recuerdas una batalla, la que libraste contigo mismo, el verdadero enemigo; la que te hizo único. Dos mentes inquisidoras: Adrianna Catena, historiadora y cuarta generacion de la antigua tradicion vitivinicola Catena; y Alejandro Vigil, reconocido enologo y agronomo de la provincia de Mendoza hay unido su esfuerzo y entusiasmo para producir este vino buscando crear algo diferente, unico. Bodega: Aleanna (Alejandro Vigil & Adrianna Catena) Region: Chacayes, Valle de Uco, Mendoza 1100 msnm Composicion Varietal: 85% Cabernet Franc - 15% Malbec Crianza: 15 meses en foudres de roble frances viejo Enologo: Alejandro Vigil Potencial de Guarda: 2022 - 2032 Graduacion Alcoholica: 13,5% Puntaje Robert Parker: 97 pts. Temperatura de Servicio: 16 grados",36660,208962,6,/imagenes/gran-enemigo-chacayes-1004c2d4061e31c58e17577082672873.jpg,,TRUE
